번호	도착시간	주문종류	서비스시간	turnaround time
1	21:48	방문	560	1244.60
2	12:14	방문	550	1001.70
3	17:38	전화	958	993.60
4	22:54	방문	550	1178.60
5	02:48	전화	818	1089.50
6	20:14	방문	330	930.00
7	04:48	전화	748	784.40
8	16:23	방문	230	251.80
9	22:48	전화	648	748.00
10	12:15	방문	440	916.40
11	21:48	방문	560	1293.60
12	08:44	방문	550	564.50
13	21:38	전화	958	1193.80
14	22:54	방문	550	1189.80
15	18:48	전화	308	372.40
16	20:14	방문	330	971.60
17	14:48	전화	748	1248.00
18	16:14	방문	230	430.00
19	15:38	전화	648	684.40
20	02:54	방문	550	798.00
21	18:48	전화	308	559.00
22	20:14	방문	330	970.00
23	14:48	전화	748	1485.40
24	16:14	방문	230	464.60
25	23:38	전화	648	662.60
<Average Arround Time> :	[881.05]
<냉장고 상태> :
시간(시/분/초)	피클	새우	닭고기	빵	상추	치즈	토마토
08:47:02.40	3	4	6	3	3	6	4
08:48:52.40	2	3	6	2	2	6	3
08:50:42.40	1	2	6	1	1	6	2
08:52:32.40	0	1	6	0	0	6	1
12:15:22.40	0	1	6	0	0	6	1
12:15:29.60	0	1	6	7	0	6	1
12:15:36.70	0	1	6	7	7	6	1
12:15:44.10	7	1	6	7	7	6	1
12:15:44.10	6	1	5	6	6	5	1
12:17:24.10	5	1	4	5	5	4	1
12:18:14.10	4	0	4	4	4	4	0
12:20:44.10	4	0	4	4	4	4	0
12:20:51.20	4	7	4	4	4	4	0
12:20:58.70	4	7	4	4	4	4	7
12:20:58.70	3	6	4	3	3	4	6
12:21:58.70	2	5	4	2	2	4	5
12:24:28.70	1	4	4	1	1	4	4
12:25:28.70	0	3	4	0	0	4	3
12:27:58.70	0	3	4	0	0	4	3
12:28:06.00	0	3	4	7	0	4	3
12:28:13.10	0	3	4	7	7	4	3
12:28:20.50	7	3	4	7	7	4	3
12:28:20.50	6	2	4	6	6	4	2
12:29:20.50	5	1	4	5	5	4	1
14:50:18.50	4	1	3	4	4	3	1
14:51:08.50	3	1	2	3	3	2	1
14:53:38.50	2	0	2	2	2	2	0
14:54:28.50	2	0	2	2	2	2	0
14:54:35.60	2	7	2	2	2	2	0
14:54:43.10	2	7	2	2	2	2	7
14:54:43.10	1	6	2	1	1	2	6
14:57:23.10	0	5	2	0	0	2	5
14:58:13.10	0	5	2	0	0	2	5
14:58:20.40	0	5	2	7	0	2	5
14:58:27.50	0	5	2	7	7	2	5
14:58:34.90	7	5	2	7	7	2	5
14:58:34.90	6	4	2	6	6	2	4
15:01:14.90	5	3	2	5	5	2	3
15:02:04.90	4	2	2	4	4	2	2
15:04:44.90	3	1	2	3	3	2	1
15:05:34.90	2	0	2	2	2	2	0
15:40:54.90	2	0	2	2	2	2	0
15:41:02.00	2	7	2	2	2	2	0
15:41:09.50	2	7	2	2	2	2	7
15:41:09.50	1	6	2	1	1	2	6
15:42:59.50	0	5	2	0	0	2	5
15:44:49.50	0	5	2	0	0	2	5
15:44:56.80	0	5	2	7	0	2	5
15:45:03.90	0	5	2	7	7	2	5
15:45:11.30	7	5	2	7	7	2	5
15:45:11.30	6	4	2	6	6	2	4
15:47:01.30	5	3	2	5	5	2	3
16:17:33.30	4	2	2	4	4	2	2
16:18:23.30	3	1	2	3	3	2	1
16:21:03.30	2	0	2	2	2	2	0
16:21:53.30	2	0	2	2	2	2	0
16:22:00.40	2	7	2	2	2	2	0
16:22:07.90	2	7	2	2	2	2	7
16:22:07.90	1	6	2	1	1	2	6
16:26:47.90	0	5	2	0	0	2	5
16:28:37.90	0	5	2	0	0	2	5
16:28:45.20	0	5	2	7	0	2	5
16:28:52.30	0	5	2	7	7	2	5
16:28:59.70	7	5	2	7	7	2	5
16:28:59.70	6	4	2	6	6	2	4
17:42:07.70	5	4	1	5	5	1	4
17:43:47.70	4	4	0	4	4	0	4
17:45:27.70	3	3	0	3	3	0	3
17:47:17.70	2	2	0	2	2	0	2
17:49:07.70	1	1	0	1	1	0	1
17:50:57.70	0	0	0	0	0	0	0
17:52:47.70	0	0	0	0	0	0	0
17:52:54.70	7	0	0	0	0	0	0
17:53:01.80	7	7	0	0	0	0	0
17:53:09.00	7	7	0	7	0	0	0
17:53:16.10	7	7	0	7	7	0	0
17:53:23.30	7	7	0	7	7	0	7
17:53:23.30	6	6	0	6	6	0	6
18:52:43.30	6	6	0	6	6	0	6
18:52:50.40	6	6	0	6	6	7	6
18:52:57.70	6	6	7	6	6	7	6
18:52:57.70	5	6	6	5	5	6	6
18:53:47.70	4	6	5	4	4	5	6
20:18:59.70	3	6	4	3	3	4	6
20:19:49.70	2	6	3	2	2	3	6
20:20:39.70	1	6	2	1	1	2	6
20:23:59.70	0	5	2	0	0	2	5
20:24:49.70	0	5	2	0	0	2	5
20:24:56.80	0	5	2	7	0	2	5
20:25:03.90	0	5	2	7	7	2	5
20:25:11.30	7	5	2	7	7	2	5
20:25:11.30	6	4	2	6	6	2	4
20:26:01.30	5	3	2	5	5	2	3
20:29:31.30	4	2	2	4	4	2	2
20:30:21.30	3	1	2	3	3	2	1
20:31:11.30	2	0	2	2	2	2	0
21:43:19.30	1	0	1	1	1	1	0
21:44:59.30	0	0	0	0	0	0	0
21:46:39.30	0	0	0	0	0	0	0
21:46:46.40	0	7	0	0	0	0	0
21:46:53.50	7	7	0	0	0	0	0
21:47:00.80	7	7	0	7	0	0	0
21:47:07.90	7	7	0	7	7	0	0
21:47:15.10	7	7	0	7	7	0	7
21:47:15.10	6	6	0	6	6	0	6
21:49:05.10	5	5	0	5	5	0	5
21:50:55.10	4	4	0	4	4	0	4
21:52:45.10	3	3	0	3	3	0	3
21:54:35.10	2	2	0	2	2	0	2
21:54:45.10	1	1	0	1	1	0	1
21:55:35.10	0	0	0	0	0	0	0
21:59:55.10	0	0	0	0	0	0	0
22:00:02.60	0	7	0	0	0	0	0
22:00:09.80	0	7	0	7	0	0	0
22:00:16.90	0	7	0	7	7	0	0
22:00:24.10	0	7	0	7	7	0	7
22:00:31.70	7	7	0	7	7	0	7
22:00:31.70	6	6	0	6	6	0	6
22:01:22.70	5	5	0	5	5	0	5
22:04:01.70	4	4	0	4	4	0	4
22:04:52.70	3	3	0	3	3	0	3
22:07:31.70	2	2	0	2	2	0	2
22:08:22.70	1	1	0	1	1	0	1
22:11:01.70	0	0	0	0	0	0	0
22:11:52.70	0	0	0	0	0	0	0
22:11:59.70	7	0	0	0	0	0	0
22:12:06.80	7	7	0	0	0	0	0
22:12:14.00	7	7	0	7	0	0	0
22:12:21.10	7	7	0	7	7	0	0
22:12:28.30	7	7	0	7	7	0	7
22:12:28.30	6	6	0	6	6	0	6
22:55:07.30	5	5	0	5	5	0	5
22:56:57.30	4	4	0	4	4	0	4
22:58:47.30	3	3	0	3	3	0	3
23:00:37.30	2	2	0	2	2	0	2
23:01:47.30	2	2	0	2	2	0	2
23:01:54.40	2	2	0	2	2	7	2
23:02:01.70	2	2	7	2	2	7	2
23:02:01.70	1	2	6	1	1	6	2
23:02:51.70	0	2	5	0	0	5	2
23:05:11.70	0	2	5	0	0	5	2
23:05:18.80	0	2	5	7	0	5	2
23:05:25.90	0	2	5	7	7	5	2
23:05:33.30	7	2	5	7	7	5	2
23:05:33.30	6	1	5	6	6	5	1
23:07:14.30	5	0	5	5	5	5	0
23:09:53.30	5	0	5	5	5	5	0
23:10:00.40	5	7	5	5	5	5	0
23:10:07.90	5	7	5	5	5	5	7
23:10:07.90	4	6	5	4	4	5	6
23:10:58.90	3	5	5	3	3	5	5
23:13:37.90	2	4	5	2	2	5	4
23:14:28.90	1	3	5	1	1	5	3
23:17:07.90	0	2	5	0	0	5	2
23:17:58.90	0	2	5	0	0	5	2
23:18:06.20	0	2	5	7	0	5	2
23:18:13.30	0	2	5	7	7	5	2
23:18:20.70	7	2	5	7	7	5	2
23:18:20.70	6	1	5	6	6	5	1
23:46:19.70	5	0	5	5	5	5	0
23:48:09.70	5	0	5	5	5	5	0
23:48:16.80	5	7	5	5	5	5	0
23:48:24.30	5	7	5	5	5	5	7
23:48:24.30	4	6	5	4	4	5	6
23:50:14.30	3	5	5	3	3	5	5
23:52:04.30	2	4	5	2	2	5	4
<디스크 변화 > :
시간(시/분/초)	재료	수량	헤드	탐색 시간	
02:59:05.10	pickle	7	1	0.10
02:59:12.40	bread	7	4	0.30
02:59:19.50	lettuce	7	5	0.10
04:53:56.80	shrimp	7	2	0.30
04:54:04.00	bread	7	4	0.20
04:54:11.10	lettuce	7	5	0.10
04:54:18.30	tomato	7	7	0.20
04:54:25.90	pickle	7	1	0.60
08:45:15.10	chicken	7	3	0.20
08:45:22.40	cheeze	7	6	0.30
12:15:29.60	bread	7	4	0.20
12:15:36.70	lettuce	7	5	0.10
12:15:44.10	pickle	7	1	0.40
12:20:51.20	shrimp	7	2	0.10
12:20:58.70	tomato	7	7	0.50
12:28:06.00	bread	7	4	0.30
12:28:13.10	lettuce	7	5	0.10
12:28:20.50	pickle	7	1	0.40
14:54:35.60	shrimp	7	2	0.10
14:54:43.10	tomato	7	7	0.50
14:58:20.40	bread	7	4	0.30
14:58:27.50	lettuce	7	5	0.10
14:58:34.90	pickle	7	1	0.40
15:41:02.00	shrimp	7	2	0.10
15:41:09.50	tomato	7	7	0.50
15:44:56.80	bread	7	4	0.30
15:45:03.90	lettuce	7	5	0.10
15:45:11.30	pickle	7	1	0.40
16:22:00.40	shrimp	7	2	0.10
16:22:07.90	tomato	7	7	0.50
16:28:45.20	bread	7	4	0.30
16:28:52.30	lettuce	7	5	0.10
16:28:59.70	pickle	7	1	0.40
17:52:54.70	pickle	7	1	0.00
17:53:01.80	shrimp	7	2	0.10
17:53:09.00	bread	7	4	0.20
17:53:16.10	lettuce	7	5	0.10
17:53:23.30	tomato	7	7	0.20
18:52:50.40	cheeze	7	6	0.10
18:52:57.70	chicken	7	3	0.30
20:24:56.80	bread	7	4	0.10
20:25:03.90	lettuce	7	5	0.10
20:25:11.30	pickle	7	1	0.40
21:46:46.40	shrimp	7	2	0.10
21:46:53.50	pickle	7	1	0.10
21:47:00.80	bread	7	4	0.30
21:47:07.90	lettuce	7	5	0.10
21:47:15.10	tomato	7	7	0.20
22:00:02.60	shrimp	7	2	0.50
22:00:09.80	bread	7	4	0.20
22:00:16.90	lettuce	7	5	0.10
22:00:24.10	tomato	7	7	0.20
22:00:31.70	pickle	7	1	0.60
22:11:59.70	pickle	7	1	0.00
22:12:06.80	shrimp	7	2	0.10
22:12:14.00	bread	7	4	0.20
22:12:21.10	lettuce	7	5	0.10
22:12:28.30	tomato	7	7	0.20
23:01:54.40	cheeze	7	6	0.10
23:02:01.70	chicken	7	3	0.30
23:05:18.80	bread	7	4	0.10
23:05:25.90	lettuce	7	5	0.10
23:05:33.30	pickle	7	1	0.40
23:10:00.40	shrimp	7	2	0.10
23:10:07.90	tomato	7	7	0.50
23:18:06.20	bread	7	4	0.30
23:18:13.30	lettuce	7	5	0.10
23:18:20.70	pickle	7	1	0.40
23:48:16.80	shrimp	7	2	0.10
23:48:24.30	tomato	7	7	0.50
-------------------------------------------------------------------
